height,height2,height3,FG3_attempted_by_minutes,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,position,position2
206,"0,7",0.70000000,"0,09489051095",0.09489051,"0,2774154537",0.27741545,Power Forward,3
203,"0,625",0.62500000,"0,05438066465",0.05438066,"0,1589836181",0.15898362,Power Forward,3
193,"0,375",0.37500000,"0,05889145497",0.05889145,"0,1721710584",0.17217106,Point Guard,0
206,"0,7",0.70000000,"0,05882352941",0.05882353,"0,1719724758",0.17197248,Power Forward,3
218,1,1.00000000,"0,1030351438",0.10303514,"0,3012265492",0.30122655,Center,4
188,"0,25",0.25000000,"0,1729032258",0.17290323,"0,505488129",0.50548813,Point Guard,0
211,"0,825",0.82500000,0,0.00000000,0,0.00000000,Center,4
188,"0,25",0.25000000,"0,219927096",0.21992710,"0,6429639225",0.64296392,Point Guard,0
193,"0,375",0.37500000,0,0.00000000,0,0.00000000,Shooting Guard,1
203,"0,625",0.62500000,"0,1678607984",0.16786080,"0,4907464307",0.49074643,Small Forward,2
196,"0,45",0.45000000,"0,2251461988",0.22514620,"0,658222137",0.65822214,Shooting Guard,1
188,"0,25",0.25000000,"0,1511312217",0.15113122,"0,4418369764",0.44183698,Point Guard,0
188,"0,25",0.25000000,"0,1373429084",0.13734291,"0,4015264",0.40152640,Shooting Guard,1
193,"0,375",0.37500000,"0,1435786436",0.14357864,"0,4197567719",0.41975677,Shooting Guard,1
191,"0,325",0.32500000,"0,1266968326",0.12669683,"0,3704022557",0.37040226,Shooting Guard,1
196,"0,45",0.45000000,"0,1227741331",0.12277413,"0,3589341179",0.35893412,Shooting Guard,1
191,"0,325",0.32500000,"0,2463768116",0.24637681,"0,7202905148",0.72029051,Shooting Guard,1
203,"0,625",0.62500000,"0,2215002953",0.22150030,"0,6475632211",0.64756322,Small Forward,2
188,"0,25",0.25000000,"0,123255814",0.12325581,"0,3603423274",0.36034233,Point Guard,0
203,"0,625",0.62500000,"0,1409001957",0.14090020,"0,4119262435",0.41192624,Center,4
210,"0,8",0.80000000,"0,1568627451",0.15686275,"0,4585932689",0.45859327,Power Forward,3
203,"0,625",0.62500000,"0,004901960784",0.00490196,"0,01433103965",0.01433104,Power Forward,3
208,"0,75",0.75000000,"0,1143617021",0.11436170,"0,3343401059",0.33434011,Power Forward,3
193,"0,375",0.37500000,"0,07164480323",0.07164480,"0,2094558813",0.20945588,Point Guard,0
190,"0,3",0.30000000,"0,1502109705",0.15021097,"0,4391465924",0.43914659,Point Guard,0
203,"0,625",0.62500000,"0,1361545538",0.13615455,"0,3980522072",0.39805221,Power Forward,3
201,"0,575",0.57500000,"0,06484149856",0.06484150,"0,1895662018",0.18956620,Shooting Guard,1
203,"0,625",0.62500000,"0,07238095238",0.07238095,"0,2116080369",0.21160804,Power Forward,3
201,"0,575",0.57500000,"0,1337142857",0.13371429,"0,3909180051",0.39091801,Shooting Guard,1
191,"0,325",0.32500000,"0,1278941566",0.12789416,"0,3739026709",0.37390267,Shooting Guard,1
193,"0,375",0.37500000,"0,1184792219",0.11847922,"0,3463778072",0.34637781,Shooting Guard,1
208,"0,75",0.75000000,"0,1687440077",0.16874401,"0,4933285214",0.49332852,Center,4
203,"0,625",0.62500000,"0,2350119904",0.23501199,"0,6870650953",0.68706510,Power Forward,3
202,"0,6",0.60000000,0,0.00000000,0,0.00000000,Power Forward,3
188,"0,25",0.25000000,"0,03597122302",0.03597122,"0,1051630248",0.10516302,Point Guard,0
