height,height2,height3,FG3_attempted_by_minutes,FG3_attempted_by_minutes_1,FG3_attempted_by_minutes_2,FG3_attempted_by_minutes_3,position,position2
183,"0,125",0.12500000,"0,1321439848",0.13214398,"0,38632718",0.38632718,Point guard,0
206,"0,7",0.70000000,"0,1777452416",0.17774524,"0,5196439176",0.51964392,Power forward,3
193,"0,375",0.37500000,"0,1520059806",0.15200598,"0,4443943621",0.44439436,Shooting guard,1
185,"0,175",0.17500000,"0,2133668904",0.21336689,"0,6237849509",0.62378495,Point guard,0
191,"0,325",0.32500000,"0,1075376884",0.10753769,"0,3143898829",0.31438988,Shooting guard,1
203,"0,625",0.62500000,"0,1321334504",0.13213345,"0,3862963823",0.38629638,Small forward,2
196,"0,45",0.45000000,"0,06960680128",0.06960680,"0,2034977172",0.20349772,Shooting guard,1
213,"0,875",0.87500000,"0,129471891",0.12947189,"0,378515228",0.37851523,Center,4
193,"0,375",0.37500000,"0,2260760552",0.22607606,"0,660940602",0.66094060,Shooting guard,1
201,"0,575",0.57500000,"0,09898866074",0.09898866,"0,2893965262",0.28939653,Small forward,2
206,"0,7",0.70000000,"0,2068864038",0.20688640,"0,6048390404",0.60483904,Center,4
213,"0,875",0.87500000,"0,211509716",0.21150972,"0,6183554419",0.61835544,Center,4
203,"0,625",0.62500000,"0,02050420168",0.02050420,"0,05994469158",0.05994469,Power forward,3
198,"0,5",0.50000000,"0,255498778",0.25549878,"0,7469588763",0.74695888,Small forward,2
208,"0,75",0.75000000,"0,1652523448",0.16525234,"0,4831205329",0.48312053,Center,4
196,"0,45",0.45000000,"0,2350486787",0.23504868,"0,6871723548",0.68717235,Shooting guard,1
193,"0,375",0.37500000,0,0.00000000,0,0.00000000,Point guard,0
201,"0,575",0.57500000,"0,1107594937",0.11075949,"0,323808934",0.32380893,Small forward,2
198,"0,5",0.50000000,"0,1417322835",0.14173228,"0,4143588789",0.41435888,Small forward,2
203,"0,625",0.62500000,"0,0004770992366",0.00047710,"0,001394814928",0.00139481,Center,4
203,"0,625",0.62500000,"0,1067884081",0.10678841,"0,3121993379",0.31219934,Power forward,3
206,"0,7",0.70000000,"0,1794619423",0.17946194,"0,5246627471",0.52466275,Power forward,3
196,"0,45",0.45000000,"0,2331749802",0.23317498,"0,6816945371",0.68169454,Shooting guard,1
196,"0,45",0.45000000,"0,1045987376",0.10459874,"0,3057977659",0.30579777,Shooting guard,1
198,"0,5",0.50000000,"0,1773304577",0.17733046,"0,5184312835",0.51843128,Shooting guard,1
211,"0,825",0.82500000,"0,1206278027",0.12062780,"0,3526592521",0.35265925,Power forward,3
198,"0,5",0.50000000,"0,1908727515",0.19087275,"0,558022614",0.55802261,Shooting guard,1
208,"0,75",0.75000000,"0,1867612293",0.18676123,"0,5460024469",0.54600245,Center,4
198,"0,5",0.50000000,"0,063692398",0.06369240,"0,1862067694",0.18620677,Shooting guard,1
185,"0,175",0.17500000,"0,05787181083",0.05787181,"0,169190096",0.16919010,Point guard,0
198,"0,5",0.50000000,"0,09881193857",0.09881194,"0,2888798732",0.28887987,Small forward,2
201,"0,575",0.57500000,"0,2472955431",0.24729554,"0,7229764558",0.72297646,Small forward,2
193,"0,375",0.37500000,"0,1849015317",0.18490153,"0,5405655613",0.54056556,Shooting guard,1
191,"0,325",0.32500000,"0,2064431295",0.20644313,"0,6035431137",0.60354311,Point guard,0
198,"0,5",0.50000000,"0,1258633922",0.12586339,"0,367965666",0.36796567,Small forward,2
191,"0,325",0.32500000,"0,2019374069",0.20193741,"0,5903704891",0.59037049,Point guard,0
203,"0,625",0.62500000,"0,07398316971",0.07398317,"0,2162921707",0.21629217,Power forward,3
185,"0,175",0.17500000,"0,1792859945",0.17928599,"0,5241483581",0.52414836,Point guard,0
196,"0,45",0.45000000,"0,191514861",0.19151486,"0,5598998417",0.55989984,Small forward,2
203,"0,625",0.62500000,"0,112324493",0.11232449,"0,3283842597",0.32838426,Small forward,2
203,"0,625",0.62500000,"0,2763693271",0.27636933,"0,8079745963",0.80797460,Power forward,3
213,"0,875",0.87500000,"0,06335830212",0.06335830,"0,1852300294",0.18523003,Power forward,3
203,"0,625",0.62500000,"0,1307379431",0.13073794,"0,382216572",0.38221657,Power forward,3
196,"0,45",0.45000000,"0,1033411033",0.10334110,"0,3021210317",0.30212103,Shooting guard,1
193,"0,375",0.37500000,"0,1661490683",0.16614907,"0,4857421328",0.48574213,Shooting guard,1
203,"0,625",0.62500000,"0,1834023089",0.18340231,"0,5361825353",0.53618254,Small forward,2
208,"0,75",0.75000000,"0,1631029339",0.16310293,"0,4768366611",0.47683666,Power forward,3
198,"0,5",0.50000000,"0,1519895629",0.15198956,"0,4443463644",0.44434636,Shooting guard,1
198,"0,5",0.50000000,"0,1253031528",0.12530315,"0,3663277881",0.36632779,Small forward,2
193,"0,375",0.37500000,"0,005307050796",0.00530705,"0,0155153333",0.01551533,Shooting guard,1
198,"0,5",0.50000000,"0,1361231361",0.13612314,"0,3979603565",0.39796036,Small forward,2
198,"0,5",0.50000000,"0,1662714878",0.16627149,"0,4861000301",0.48610003,Shooting guard,1
193,"0,375",0.37500000,"0,1474358974",0.14743590,"0,4310335772",0.43103358,Shooting guard,1
203,"0,625",0.62500000,"0,1629416006",0.16294160,"0,4763649981",0.47636500,Power forward,3
198,"0,5",0.50000000,"0,1402597403",0.14025974,"0,4100538516",0.41005385,Shooting guard,1
203,"0,625",0.62500000,0,0.00000000,0,0.00000000,Shooting guard,1
201,"0,575",0.57500000,"0,2408906883",0.24089069,"0,7042516573",0.70425166,Small forward,2
191,"0,325",0.32500000,"0,263239188",0.26323919,"0,7695882133",0.76958821,Shooting guard,1
198,"0,5",0.50000000,"0,1326915027",0.13269150,"0,3879278661",0.38792787,Small forward,2
193,"0,375",0.37500000,"0,1206168145",0.12061681,"0,3526271277",0.35262713,Point guard,0
203,"0,625",0.62500000,"0,1780397022",0.17803970,"0,5205047826",0.52050478,Power forward,3
198,"0,5",0.50000000,"0,2142857143",0.21428571,"0,6264711621",0.62647116,Small forward,2
213,"0,875",0.87500000,"0,1306425916",0.13064259,"0,3819378088",0.38193781,Power forward,3
208,"0,75",0.75000000,"0,1416083916",0.14160839,"0,413996677",0.41399668,Power forward,3
198,"0,5",0.50000000,"0,214229249",0.21422925,"0,6263060839",0.62630608,Small forward,2
203,"0,625",0.62500000,"0,1607461798",0.16074618,"0,4699466149",0.46994661,Small forward,2
213,"0,875",0.87500000,"0,1751740139",0.17517401,"0,5121268509",0.51212685,Center,4
203,"0,625",0.62500000,"0,1590130226",0.15901302,"0,4648796742",0.46487967,Small forward,2
206,"0,7",0.70000000,"0,1038996455",0.10389965,"0,3037539477",0.30375395,Center,4
213,"0,875",0.87500000,"0,1963414634",0.19634146,"0,5740105687",0.57401057,Center,4
193,"0,375",0.37500000,"0,1327742837",0.13277428,"0,388169879",0.38816988,Small forward,2
201,"0,575",0.57500000,"0,02044293015",0.02044293,"0,0597655623",0.05976556,Small forward,2
203,"0,625",0.62500000,"0,07062146893",0.07062147,"0,2064641306",0.20646413,Power forward,3
196,"0,45",0.45000000,"0,1309109009",0.13091090,"0,3827222196",0.38272222,Small forward,2
211,"0,825",0.82500000,"0,1182692308",0.11826923,"0,3457638914",0.34576389,Center,4
196,"0,45",0.45000000,"0,1133703019",0.11337030,"0,3314417156",0.33144172,Shooting guard,1
193,"0,375",0.37500000,"0,1138101664",0.11381017,"0,3327276736",0.33272767,Shooting guard,1
211,"0,825",0.82500000,"0,001944579485",0.00194458,"0,005685040525",0.00568504,Center,4
216,"0,95",0.95000000,"0,001161440186",0.00116144,"0,003395507654",0.00339551,Center,4
211,"0,825",0.82500000,"0,116416553",0.11641655,"0,3403475284",0.34034753,Power forward,3
208,"0,75",0.75000000,"0,03088480801",0.03088481,"0,09029272729",0.09029273,Center,4
196,"0,45",0.45000000,"0,1449451888",0.14494519,"0,4237519107",0.42375191,Shooting guard,1
196,"0,45",0.45000000,"0,1063829787",0.10638298,"0,311014052",0.31101405,Small forward,2
206,"0,7",0.70000000,"0,09438202247",0.09438202,"0,2759288714",0.27592887,Power forward,3
191,"0,325",0.32500000,"0,1500646831",0.15006468,"0,4387189165",0.43871892,Point guard,0
213,"0,875",0.87500000,"0,1636948261",0.16369483,"0,478567077",0.47856708,Center,4
200,"0,55",0.55000000,"0,003418803419",0.00341880,"0,009994981503",0.00999498,Shooting guard,1
206,"0,7",0.70000000,"0,0003611412062",0.00036114,"0,001055807905",0.00105581,Center,4
211,"0,825",0.82500000,"0,1654441728",0.16544417,"0,4836813482",0.48368135,Center,4
210,"0,8",0.80000000,"0,005201560468",0.00520156,"0,01520692894",0.01520693,Power forward,3
208,"0,75",0.75000000,"0,1621621622",0.16216216,"0,4740862849",0.47408628,Power forward,3
196,"0,45",0.45000000,"0,08656716418",0.08656716,"0,2530818824",0.25308188,Point guard,0
190,"0,3",0.30000000,"0,1039370079",0.10393701,"0,3038631779",0.30386318,Shooting guard,1
193,"0,375",0.37500000,"0,08856872933",0.08856873,"0,2589335223",0.25893352,Shooting guard,1
201,"0,575",0.57500000,"0,2150139018",0.21501390,"0,6286000416",0.62860004,Small forward,2
185,"0,175",0.17500000,"0,004724409449",0.00472441,"0,01381196263",0.01381196,Point guard,0
208,"0,75",0.75000000,"0,1623616236",0.16236162,"0,4746694167",0.47466942,Center,4
203,"0,625",0.62500000,0,0.00000000,0,0.00000000,Power forward,3
181,"0,075",0.07500000,"0,004237288136",0.00423729,"0,01238784784",0.01238785,Point guard,0
201,"0,575",0.57500000,"0,09712722298",0.09712722,"0,2839545531",0.28395455,Power forward,3
180,"0,05",0.05000000,"0,0799407846",0.07994078,"0,233709449",0.23370945,Point guard,0
188,"0,25",0.25000000,"0,09021323127",0.09021323,"0,2637412765",0.26374128,Shooting guard,1
208,"0,75",0.75000000,"0,2448210923",0.24482109,"0,7157423195",0.71574232,Power forward,3
183,"0,125",0.12500000,"0,2481481481",0.24814815,"0,7254690739",0.72546907,Point guard,0
201,"0,575",0.57500000,"0,1510611735",0.15106117,"0,4416321882",0.44163219,Small forward,2
211,"0,825",0.82500000,"0,1234413965",0.12344140,"0,3608848838",0.36088488,Center,4
208,"0,75",0.75000000,"0,2550831793",0.25508318,"0,7457438602",0.74574386,Center,4
203,"0,625",0.62500000,"0,1577060932",0.15770609,"0,4610588242",0.46105882,Small forward,2
196,"0,45",0.45000000,"0,08609271523",0.08609272,"0,2516948156",0.25169482,Shooting guard,1
191,"0,325",0.32500000,"0,1570512821",0.15705128,"0,4591444629",0.45914446,Shooting guard,1
183,"0,125",0.12500000,"0,1309125657",0.13091257,"0,3827270867",0.38272709,Point guard,0
196,"0,45",0.45000000,"0,1435884934",0.14358849,"0,4197855681",0.41978557,Shooting guard,1
185,"0,175",0.17500000,"0,1890999174",0.18909992,"0,5528396766",0.55283968,Point guard,0
206,"0,7",0.70000000,"0,06012658228",0.06012658,"0,1757819927",0.17578199,Power forward,3
203,"0,625",0.62500000,"0,1514841351",0.15148414,"0,44286873",0.44286873,Power forward,3
196,"0,45",0.45000000,"0,168737966",0.16873797,"0,4933108583",0.49331086,Shooting guard,1
211,"0,825",0.82500000,"0,03301886792",0.03301887,"0,09653171992",0.09653172,Center,4
191,"0,325",0.32500000,"0,01380138014",0.01380138,"0,04034877772",0.04034878,Point guard,0
198,"0,5",0.50000000,"0,1674849973",0.16748500,"0,4896477641",0.48964776,Small forward,2
183,"0,125",0.12500000,"0,121763471",0.12176347,"0,3559794148",0.35597941,Point guard,0
193,"0,375",0.37500000,"0,1410992617",0.14109926,"0,4125082194",0.41250822,Small forward,2
196,"0,45",0.45000000,"0,2055627988",0.20556280,"0,6009694387",0.60096944,Shooting guard,1
193,"0,375",0.37500000,"0,07780320366",0.07780320,"0,2274601626",0.22746016,Point guard,0
191,"0,325",0.32500000,"0,1195410807",0.11954108,"0,3494821854",0.34948219,Shooting guard,1
196,"0,45",0.45000000,"0,02175346078",0.02175346,"0,06359694065",0.06359694,Shooting guard,1
201,"0,575",0.57500000,"0,06950269623",0.06950270,"0,2031933627",0.20319336,Power forward,3
211,"0,825",0.82500000,"0,08960407502",0.08960408,"0,2619603887",0.26196039,Center,4
201,"0,575",0.57500000,"0,2234042553",0.22340426,"0,6531295093",0.65312951,Shooting guard,1
196,"0,45",0.45000000,"0,006076388889",0.00607639,"0,0177645179",0.01776452,Shooting guard,1
196,"0,45",0.45000000,"0,1113689095",0.11136891,"0,3255905807",0.32559058,Shooting guard,1
193,"0,375",0.37500000,"0,1490250696",0.14902507,"0,4356795731",0.43567957,Shooting guard,1
198,"0,5",0.50000000,"0,206779661",0.20677966,"0,6045269744",0.60452697,Power forward,3
203,"0,625",0.62500000,"0,1392070485",0.13920705,"0,4069762734",0.40697627,Small forward,2
196,"0,45",0.45000000,"0,1248275862",0.12482759,"0,3649374539",0.36493745,Point guard,0
201,"0,575",0.57500000,"0,06615497076",0.06615497,"0,1934061799",0.19340618,Small forward,2
198,"0,5",0.50000000,"0,2777912917",0.27779129,"0,8121317554",0.81213176,Point guard,0
208,"0,75",0.75000000,"0,2161234991",0.21612350,"0,6318439849",0.63184398,Power forward,3
201,"0,575",0.57500000,"0,1875866852",0.18758669,"0,5484156937",0.54841569,Small forward,2
191,"0,325",0.32500000,"0,007680491551",0.00768049,"0,02245416351",0.02245416,Point guard,0
191,"0,325",0.32500000,"0,1860753221",0.18607532,"0,5439971752",0.54399718,Point guard,0
198,"0,5",0.50000000,"0,2017495899",0.20174959,"0,5898214001",0.58982140,Small forward,2
203,"0,625",0.62500000,"0,1740350877",0.17403509,"0,5087971636",0.50879716,Small forward,2
191,"0,325",0.32500000,"0,2203622393",0.22036224,"0,6442360779",0.64423608,Point guard,0
191,"0,325",0.32500000,"0,01646090535",0.01646091,"0,04812398501",0.04812399,Shooting guard,1
185,"0,175",0.17500000,"0,1694422416",0.16944224,"0,4953698306",0.49536983,Point guard,0
193,"0,375",0.37500000,"0,09461663948",0.09461664,"0,2766147817",0.27661478,Shooting guard,1
196,"0,45",0.45000000,"0,2383279045",0.23832790,"0,6967592766",0.69675928,Shooting guard,1
201,"0,575",0.57500000,"0,09412597311",0.09412597,"0,2751803028",0.27518030,Small forward,2
191,"0,325",0.32500000,"0,1827057183",0.18270572,"0,5341460304",0.53414603,Shooting guard,1
206,"0,7",0.70000000,"0,1370427615",0.13704276,"0,4006489109",0.40064891,Power forward,3
206,"0,7",0.70000000,"0,07140332273",0.07140332,"0,2087499053",0.20874991,Center,4
196,"0,45",0.45000000,"0,2063585517",0.20635855,"0,6032958478",0.60329585,Shooting guard,1
191,"0,325",0.32500000,"0,09081419624",0.09081420,"0,2654982169",0.26549822,Point guard,0
201,"0,575",0.57500000,"0,1357142857",0.13571429,"0,3967650692",0.39676507,Small forward,2
203,"0,625",0.62500000,"0,2005899705",0.20058997,"0,5864312156",0.58643122,Small forward,2
206,"0,7",0.70000000,"0,1645087586",0.16450876,"0,4809466348",0.48094663,Small forward,2
206,"0,7",0.70000000,"0,1892510006",0.18925100,"0,5532813732",0.55328137,Power forward,3
206,"0,7",0.70000000,"0,2123986398",0.21239864,"0,6209542392",0.62095424,Power forward,3
213,"0,875",0.87500000,"0,1805555556",0.18055556,"0,5278599607",0.52785996,Center,4
211,"0,825",0.82500000,"0,06332637439",0.06332637,"0,1851366876",0.18513669,Center,4
201,"0,575",0.57500000,"0,1701116655",0.17011167,"0,4973269129",0.49732691,Small forward,2
213,"0,875",0.87500000,"0,1756548536",0.17565485,"0,5135326012",0.51353260,Center,4
206,"0,7",0.70000000,"0,1823444284",0.18234443,"0,5330897878",0.53308979,Power forward,3
193,"0,375",0.37500000,"0,1825170217",0.18251702,"0,5335943698",0.53359437,Shooting guard,1
218,1,1.00000000,"0,1233552632",0.12335526,"0,3606330704",0.36063307,Center,4
201,"0,575",0.57500000,"0,07805182641",0.07805183,"0,2281870191",0.22818702,Small forward,2
203,"0,625",0.62500000,"0,1395793499",0.13957935,"0,4080647085",0.40806471,Small forward,2
191,"0,325",0.32500000,"0,1472081218",0.14720812,"0,4303676679",0.43036767,Point guard,0
208,"0,75",0.75000000,"0,05071521456",0.05071521,"0,1482675572",0.14826756,Small forward,2
196,"0,45",0.45000000,"0,05972434916",0.05972435,"0,1746060513",0.17460605,Point guard,0
189,"0,275",0.27500000,"0,1386392811",0.13863928,"0,4053163871",0.40531639,Point guard,0
211,"0,825",0.82500000,"0,04212707182",0.04212707,"0,1231598463",0.12315985,Center,4
213,"0,875",0.87500000,"0,1257391846",0.12573918,"0,3676025411",0.36760254,Power forward,3
198,"0,5",0.50000000,"0,1262295082",0.12622951,"0,3690360179",0.36903602,Shooting guard,1
208,"0,75",0.75000000,"0,01817493374",0.01817493,"0,05313500201",0.05313500,Center,4
198,"0,5",0.50000000,"0,1752010157",0.17520102,"0,5122057915",0.51220579,Shooting guard,1
196,"0,45",0.45000000,"0,009324009324",0.00932401,"0,02725904046",0.02725904,Shooting guard,1
206,"0,7",0.70000000,"0,1219376392",0.12193764,"0,3564886011",0.35648860,Power forward,3
213,"0,875",0.87500000,"0,07446808511",0.07446809,"0,2177098365",0.21770984,Power forward,3
205,"0,675",0.67500000,"0,04010349288",0.04010349,"0,1172438483",0.11724385,Small forward,2
196,"0,45",0.45000000,"0,121",0.12100000,"0,3537473828",0.35374738,Point guard,0
198,"0,5",0.50000000,"0,1500137627",0.15001376,"0,4385700491",0.43857005,Shooting guard,1
198,"0,5",0.50000000,"0,04989154013",0.04989154,"0,1458595186",0.14585952,Small forward,2
193,"0,375",0.37500000,"0,1028730306",0.10287303,"0,3007526061",0.30075261,Point guard,0
192,"0,35",0.35000000,"0,006993006993",0.00699301,"0,02044428035",0.02044428,Shooting guard,1
206,"0,7",0.70000000,"0,04054054054",0.04054054,"0,1185215712",0.11852157,Power forward,3
199,"0,525",0.52500000,"0,2155004182",0.21550042,"0,6300223879",0.63002239,Small forward,2
213,"0,875",0.87500000,"0,1192411924",0.11924119,"0,3486054524",0.34860545,Center,4
206,"0,7",0.70000000,"0,08943089431",0.08943089,"0,2614540893",0.26145409,Small forward,2
206,"0,7",0.70000000,"0,2163299663",0.21632997,"0,6324475984",0.63244760,Small forward,2
206,"0,7",0.70000000,"0,07881773399",0.07881773,"0,2304261745",0.23042617,Power forward,3
203,"0,625",0.62500000,0,0.00000000,0,0.00000000,Power forward,3
213,"0,875",0.87500000,"0,06197183099",0.06197183,"0,1811766365",0.18117664,Center,4
196,"0,45",0.45000000,"0,1198830409",0.11988304,"0,350481917",0.35048192,Small forward,2
193,"0,375",0.37500000,"0,07142857143",0.07142857,"0,2088237207",0.20882372,Shooting guard,1
180,"0,05",0.05000000,"0,05248618785",0.05248619,"0,1534450544",0.15344505,Point guard,0
206,"0,7",0.70000000,"0,02941176471",0.02941176,"0,08598623794",0.08598624,Power forward,3
196,"0,45",0.45000000,"0,08333333333",0.08333333,"0,2436276741",0.24362767,Shooting guard,1
203,"0,625",0.62500000,"0,04484304933",0.04484305,"0,1311000937",0.13110009,Small forward,2
201,"0,575",0.57500000,"0,1150442478",0.11504425,"0,3363355501",0.33633555,Shooting guard,1
198,"0,5",0.50000000,"0,001730103806",0.00173010,"0,005058013995",0.00505801,Point guard,0
188,"0,25",0.25000000,"0,1189189189",0.11891892,"0,3476632754",0.34766328,Point guard,0
188,"0,25",0.25000000,"0,05787116776",0.05787117,"0,169188216",0.16918822,Point guard,0
188,"0,25",0.25000000,"0,08792650919",0.08792651,"0,2570559711",0.25705597,Point guard,0
198,"0,5",0.50000000,"0,002169197397",0.00216920,"0,006341718198",0.00634172,Power forward,3
201,"0,575",0.57500000,"0,0243902439",0.02439024,"0,07130566071",0.07130566,Shooting guard,1
201,"0,575",0.57500000,"0,05944798301",0.05944798,"0,173798086",0.17379809,Shooting guard,1
201,"0,575",0.57500000,"0,2046556741",0.20465567,"0,5983174305",0.59831743,Power forward,3
191,"0,325",0.32500000,"0,1300940439",0.13009404,"0,380334112",0.38033411,Shooting guard,1
193,"0,375",0.37500000,"0,1358115569",0.13581156,"0,3970494447",0.39704944,Shooting guard,1
185,"0,175",0.17500000,"0,08928571429",0.08928571,"0,2610296509",0.26102965,Point guard,0
206,"0,7",0.70000000,"0,232950709",0.23295071,"0,681038873",0.68103887,Small forward,2
198,"0,5",0.50000000,"0,2025723473",0.20257235,"0,5922267578",0.59222676,Small forward,2
198,"0,5",0.50000000,"0,11125",0.11125000,"0,3252429449",0.32524294,Small forward,2
185,"0,175",0.17500000,"0,1108866442",0.11088664,"0,3241806626",0.32418066,Point guard,0
193,"0,375",0.37500000,"0,1124551971",0.11245520,"0,3287663773",0.32876638,Shooting guard,1
203,"0,625",0.62500000,"0,1916666667",0.19166667,"0,5603436506",0.56034365,Power forward,3
196,"0,45",0.45000000,"0,1478910838",0.14789108,"0,4323643292",0.43236433,Small forward,2
211,"0,825",0.82500000,"0,2641985696",0.26419857,"0,7723929962",0.77239300,Power forward,3
180,"0,05",0.05000000,"0,1254880089",0.12548801,"0,3668682209",0.36686822,Point guard,0
188,"0,25",0.25000000,"0,137755102",0.13775510,"0,4027314612",0.40273146,Point guard,0
198,"0,5",0.50000000,"0,05917159763",0.05917160,"0,1729900645",0.17299006,Small forward,2
198,"0,5",0.50000000,"0,230945122",0.23094512,"0,6751754751",0.67517548,Shooting guard,1
180,"0,05",0.05000000,"0,1400814792",0.14008148,"0,4095326996",0.40953270,Point guard,0
206,"0,7",0.70000000,"0,07976653696",0.07976654,"0,2332000305",0.23320003,Power forward,3
208,"0,75",0.75000000,"0,1411320755",0.14113208,"0,4126041516",0.41260415,Power forward,3
203,"0,625",0.62500000,"0,1301518438",0.13015184,"0,3805030918",0.38050309,Power forward,3
206,"0,7",0.70000000,"0,19497523",0.19497523,"0,5700163415",0.57001634,Power forward,3
196,"0,45",0.45000000,"0,2011952191",0.20119522,"0,5882006793",0.58820068,Shooting guard,1
214,"0,9",0.90000000,"0,1699629172",0.16996292,"0,4968920424",0.49689204,Center,4
191,"0,325",0.32500000,"0,2132132132",0.21321321,"0,6233356707",0.62333567,Shooting guard,1
193,"0,375",0.37500000,"0,163242643",0.16324264,"0,4772451052",0.47724511,Shooting guard,1
203,"0,625",0.62500000,"0,1336032389",0.13360324,"0,3905933562",0.39059336,Small forward,2
191,"0,325",0.32500000,"0,008042895442",0.00804290,"0,02351366292",0.02351366,Point guard,0
198,"0,5",0.50000000,"0,1594746717",0.15947467,"0,4662293202",0.46622932,Small forward,2
193,"0,375",0.37500000,"0,1308641975",0.13086420,"0,3825856807",0.38258568,Shooting guard,1
198,"0,5",0.50000000,"0,1763085399",0.17630854,"0,515443674",0.51544367,Small forward,2
198,"0,5",0.50000000,"0,1340206186",0.13402062,"0,3918135791",0.39181358,Shooting guard,1
191,"0,325",0.32500000,"0,1918294849",0.19182948,"0,5608196548",0.56081965,Point guard,0
193,"0,375",0.37500000,"0,007462686567",0.00746269,"0,02181740365",0.02181740,Point guard,0
198,"0,5",0.50000000,"0,002375296912",0.00237530,"0,006944256744",0.00694426,Small forward,2
208,"0,75",0.75000000,"0,008064516129",0.00806452,"0,02357687169",0.02357687,Power forward,3
191,"0,325",0.32500000,"0,02059496568",0.02059497,"0,06021004305",0.06021004,Point guard,0
198,"0,5",0.50000000,"0,0679245283",0.06792453,"0,1985795381",0.19857954,Shooting guard,1
193,"0,375",0.37500000,"0,1104921077",0.11049211,"0,3230272225",0.32302722,Shooting guard,1
193,"0,375",0.37500000,"0,1783549784",0.17835498,"0,5214265027",0.52142650,Shooting guard,1
185,"0,175",0.17500000,"0,2279411765",0.22794118,"0,666393344",0.66639334,Point guard,0
191,"0,325",0.32500000,"0,134156051",0.13415605,"0,3922095201",0.39220952,Point guard,0
198,"0,5",0.50000000,"0,1452612932",0.14526129,"0,424676052",0.42467605,Shooting guard,1
191,"0,325",0.32500000,"0,1772090777",0.17720908,"0,5180764252",0.51807643,Point guard,0
193,"0,375",0.37500000,"0,1410810811",0.14108108,"0,4124550678",0.41245507,Shooting guard,1
203,"0,625",0.62500000,"0,0282513395",0.02825134,"0,0825936976",0.08259370,Power forward,3
206,"0,7",0.70000000,"0,1833426495",0.18334265,"0,5360081192",0.53600812,Power forward,3
211,"0,825",0.82500000,"0,1327247191",0.13272472,"0,3880249753",0.38802498,Center,4
198,"0,5",0.50000000,"0,1511715797",0.15117158,"0,4419549643",0.44195496,Small forward,2
208,"0,75",0.75000000,"0,180733945",0.18073395,"0,5283814879",0.52838149,Power forward,3
216,"0,95",0.95000000,"0,07418252806",0.07418253,"0,2168750013",0.21687500,Center,4
211,"0,825",0.82500000,"0,1263601264",0.12636013,"0,3694178844",0.36941788,Center,4
211,"0,825",0.82500000,"0,1628709455",0.16287095,"0,4761584356",0.47615844,Power forward,3
188,"0,25",0.25000000,"0,1895009416",0.18950094,"0,5540120837",0.55401208,Point guard,0
178,0,0.00000000,"0,1138923655",0.11389237,"0,3329679853",0.33296799,Point guard,0
208,"0,75",0.75000000,"0,1304771178",0.13047712,"0,3814540408",0.38145404,Small forward,2
191,"0,325",0.32500000,"0,193236715",0.19323672,"0,5649337372",0.56493374,Shooting guard,1
183,"0,125",0.12500000,"0,1955555556",0.19555556,"0,5717129421",0.57171294,Point guard,0
201,"0,575",0.57500000,"0,1137380192",0.11373802,"0,3325167489",0.33251675,Small forward,2
202,"0,6",0.60000000,"0,2766061795",0.27660618,"0,8086670419",0.80866704,Small forward,2
198,"0,5",0.50000000,"0,07346491228",0.07346491,"0,2147770285",0.21477703,Small forward,2
198,"0,5",0.50000000,"0,01184730145",0.01184730,"0,03463596596",0.03463597,Small forward,2
183,"0,125",0.12500000,0,0.00000000,0,0.00000000,Point guard,0
203,"0,625",0.62500000,"0,05173587474",0.05173587,"0,15125149",0.15125149,Power forward,3
191,"0,325",0.32500000,"0,2245098039",0.22450980,"0,6563616161",0.65636162,Point guard,0
206,"0,7",0.70000000,"0,0009496676163",0.00094967,"0,002776383751",0.00277638,Small forward,2
206,"0,7",0.70000000,"0,004028197382",0.00402820,"0,01177656431",0.01177656,Small forward,2
203,"0,625",0.62500000,"0,1228813559",0.12288136,"0,3592475872",0.35924759,Small forward,2
198,"0,5",0.50000000,"0,05055147059",0.05055147,"0,1477888464",0.14778885,Shooting guard,1
201,"0,575",0.57500000,"0,1818958155",0.18189582,"0,5317782535",0.53177825,Small forward,2
183,"0,125",0.12500000,"0,2006802721",0.20068027,"0,5866952152",0.58669522,Point guard,0
208,"0,75",0.75000000,"0,2105263158",0.21052632,"0,6154804399",0.61548044,Center,4
208,"0,75",0.75000000,"0,1590909091",0.15909091,"0,4651073779",0.46510738,Power forward,3
198,"0,5",0.50000000,"0,159442141",0.15944214,"0,4661342156",0.46613422,Small forward,2
213,"0,875",0.87500000,"0,1914893617",0.19148936,"0,5598252937",0.55982529,Center,4
198,"0,5",0.50000000,"0,1077462544",0.10774625,"0,3149996323",0.31499963,Shooting guard,1
195,"0,425",0.42500000,"0,2120161756",0.21201618,"0,6198360928",0.61983609,Shooting guard,1
206,"0,7",0.70000000,"0,09242560866",0.09242561,"0,2702092328",0.27020923,Power forward,3
196,"0,45",0.45000000,"0,03407601573",0.03407602,"0,09962232547",0.09962233,Shooting guard,1
183,"0,125",0.12500000,"0,0797240322",0.07972403,"0,2330757664",0.23307577,Point guard,0
196,"0,45",0.45000000,"0,07114624506",0.07114625,"0,2079983305",0.20799833,Point guard,0
198,"0,5",0.50000000,"0,1413359148",0.14133591,"0,4132000823",0.41320008,Small forward,2
191,"0,325",0.32500000,"0,08093994778",0.08093995,"0,2366305346",0.23663053,Point guard,0
196,"0,45",0.45000000,"0,242169238",0.24216924,"0,7079895384",0.70798954,Shooting guard,1
